3.0, 3.0, 3.0, 3.0, 3.0, 3.0
3.0, 3.0, 3.0, 3.0, 3.0, 3.0
2.0, 2.0, 2.0, 2.0, 2.0, 2.0
23.0, DNF, 3.0, 3.0, 3.0, 3.0
DNF, 3.0, 3.0, 3.0, 3.0, 3.0
DNF, 23.0, 2.0, 2.0, 2.0, 2.0
DNF, 2.0, 2.0, 2.0, 2.0, DNF
3.0, 3.0, 3.0, 3.0, 3.0, 3.0
DNF, 2.0, DNF, 2.0, DNF, 2.0
DNF, 2.0, 2.0, 2.0, 2.0, 2.0
2.0, 2.0, DNF, 3.0, 3.0, DNF
DNF, 23.0, DNF, 1.0, 1.0, DNF
3.0, 3.0, DNF, DNF, 3.0, 3.0
DNF, 3.0, 3.0, 3.0, 3.0, DNF
23.0, 43.0, DNF, 3.0, DNF, 32.0
DNF, 3.0, 3.0, 3.0, 3.0, 3.0
DNF, 3.0, 3.0, 3.0, 3.0, 3.0
2.0, 2.0, 2.0, 2.0, 2.0
12.0, 2.0, 2.0, 2.0, 2.0, 2.0
12.0, 2.0, 2.0, 4.0, 4.0
12.0, 23.0, DNF, 12.0, 32.0, 23.0
DNF, 12.0, 12.0, 12.0, DNF, 3.0
3.0, 3.0, 3.0, 3.0, 3.0, 3.0
DNF, 3.0, 3.0, 3.0, 3.0, 3.0
1.0, 349.0, DNF, 3.0, 3.0, 3.0
2.0, 2.0, 23.8, 4.0, 6.0
DNF, 3.0, 3.0, 3.0, 3.0, 3.0
14.4, 13.72, 13.55, 14.93, 17.0, 12.16
 None23.0, 41.0, 64.0, 34.0, 32.0, 12.0
32.0, 23.0, 23.0, 23.0, 23.0, 32.0
3.0, 3.0, 3.0, 3.0, 3.0, 3.0 3.0
3.0, 6.0, 7.0, 8.0, 3.0, 5.0 Ave: 5.333333333333333
